feature,train_mean,train_std,current_mean,current_std,z_diff,flag_z_gt_2
n_orders,1.0273506336753169,0.21064098798116637,1.0155038759689923,0.12354556263185446,-0.05624146477789891,0
revenue,158.87736004828002,206.38051331822516,144.35426356589147,145.72914000983104,-0.07037048337986686,0
avg_price,124.70000386240193,182.6224389862459,115.64666666666665,137.26213658098075,-0.04957406792939135,0
avg_freight,20.388358402161106,16.353653565354776,23.013178294573642,17.498998598461156,0.1605035768871378,0
n_sellers,1.00021726010863,0.014738145614409654,1.0,1e-09,-0.014741346320915984,0
pay_total_avg,165.31074869097912,213.77196723317485,154.55085271317833,146.8529118424992,-0.05033352182264517,0
inst_avg,2.833827877882193,2.6173957814041233,3.054263565891473,2.773937614577745,0.08421947096247913,0
inst_max,2.868002414001207,2.6462769758068863,3.054263565891473,2.773937614577745,0.07038611362042803,0
qty,1.136391068195534,0.5398180365633726,1.0775193798449612,0.2674137732582999,-0.10905839442743698,0
cancel_qty,0.004707302353651177,0.08310249656206505,0.0,1e-09,-0.05664453594526527,0
qty_roll_mean_7,1.136457280800069,0.5102648187319164,1.0790697674418603,0.2675395854375766,-0.11246613768283134,0
qty_roll_mean_28,1.1350196105044308,0.47364301299663203,1.0783591731266151,0.24867330976402974,-0.11962688316531458,0
