target,horizon,mae,rmse,mape,n_train,n_val,val_start,val_end,model_name
y_qty_h1,1,0.23155928799199355,0.2825320874071142,14.677324826864874,32046,4202,2018-05-05,2018-06-30,demand_product_region_h1
y_cancel_h1,1,0.0050053950457000845,0.003923604551879855,196169.57540646702,32046,4202,2018-05-05,2018-06-30,cancel_product_region_h1
y_qty_h7,7,0.348985455203565,0.3868148634459974,24.116257242562163,8576,746,2018-05-05,2018-06-30,demand_product_region_h7
y_cancel_h7,7,0.003052073134463971,4.1988537912882645e-05,305207.3134463972,8576,746,2018-05-05,2018-06-30,cancel_product_region_h7
y_qty_h14,14,0.4104858308317884,0.5967480351787494,24.684254813778846,4333,223,2018-05-05,2018-06-30,demand_product_region_h14
y_cancel_h14,14,0.012536007735789818,0.0011320114965985013,1253600.7735789819,4333,223,2018-05-05,2018-06-30,cancel_product_region_h14
